,artist,year,year
,count,amin,amax
artist,,,
chris-brown,655,2005,2016
eminem,589,2002,2016
chamillionaire,428,2005,2014
50-cent,425,2002,2016
drake,386,2007,2016
2pac,386,1999,2016
game,379,2004,2016
e-40,374,1994,2016
chief-keef,333,2012,2016
busta-rhymes,321,1998,2016
dmx,304,2006,2016
fabolous,289,2003,2016
bone-thugs-n-harmony,287,2006,2016
atmosphere,283,2001,2016
bow-wow,266,2005,2016
beastie-boys,263,1989,2016
esham,259,2006,2007
b-o-b,259,2006,2016
curren-y,255,2010,2016
cam-ron,251,2004,2016
ghostface-killah,249,2006,2016
ace-hood,245,2008,2016
french-montana,222,2010,2016
cypress-hill,216,1998,2015
daddy-yankee,213,2004,2016
future,211,2011,2016
dr-dre,203,2006,2016
big-sean,201,2009,2016
bizzy-bone,196,2004,2011
common,193,2002,2016
fat-joe,193,2005,2016
cassidy,186,1982,2016
funkmaster-flex,181,1995,2008
gangstarr,178,1992,2014
de-la-soul,176,2006,2016
big-k-r-i-t,172,2010,2016
andre-nickatina,169,2002,2013
black-eyed-peas,169,2004,2016
beenie-man,163,2002,2016
brotha-lynch-hung,161,2006,2016
2-live-crew,156,1991,2016
ginuwine,152,1996,2015
dj-khaled,147,2006,2016
2-chainz,146,2011,2016
childish-gambino,145,2011,2016
elephant-man,140,2006,2016
birdman,137,2002,2016
bobby-valentino,133,2005,2011
avant,130,2000,2015
don-omar,129,2005,2016
flo-rida,126,2008,2016
aesop-rock,125,2006,2016
epmd,120,2006,2014
freeway,118,2006,2016
d-12,118,2004,2014
chingy,117,2004,2013
canibus,117,2006,2015
chevy-woods,115,2010,2016
danny-brown,115,2008,2016
eightball-mjg,113,2004,2012
b-g,110,2006,2014
david-banner,108,2006,2016
dj-quik,107,2006,2016
chrishan,107,2009,2015
asher-roth,105,2009,2016
freddie-gibbs,104,2010,2016
coolio,103,2006,2014
beanie-sigel,101,2000,2016
big-daddy-kane,100,2006,2015
foxy-brown,100,1996,2013
eve,99,2006,2014
112,97,2005,2016
bushido,96,2004,2016
die-antwoord,94,2010,2016
c-murder,92,2006,2016
big-tymers,92,2000,2008
far-east-movement,91,2009,2016
asap-rocky,91,2011,2016
az,90,2006,2016
chris-webby,90,2010,2016
eazy-e,88,1995,2015
dilated-peoples,88,2006,2014
empire-cast,88,2015,2016
dave-east,88,2012,2016
action-bronson,85,2011,2016
goodie-mob,84,2006,2013
daz-dillinger,84,2006,2016
aceyalone,84,2006,2008
calle-13,84,2005,2014
berner,84,2011,2016
fetty-wap,84,2015,2016
geto-boys,82,2006,2012
die-fantastischen-vier,82,2006,2016
digital-underground,81,2006,2009
blackstreet,80,1996,2012
del-the-funky-homosapien,80,2007,2007
buck-65,80,2005,2013
bun-b,79,2005,2016
dizzee-rascal,78,2004,2016
classified,78,2006,2016
bobby-v,77,1999,2016
estelle,76,2004,2016
erick-sermon,75,2006,2015
g-eazy,75,2012,2016
bliss-n-eso,75,2006,2016
drag-on,75,2006,2008
death-grips,75,2012,2016
buddha-monk,74,2006,2016
dru-hill,74,112,2010
famous-dex,74,2016,2016
fettes-brot,73,2006,2015
dj-jazzy-jeff-the-fresh-prince,73,2006,2008
boogie-down-productions,73,2006,2015
asaad,72,2016,2016
example,72,2010,2016
dizzy-wright,71,2012,2016
fabri-fibra,69,2006,2016
cormega,69,2006,2016
a,68,1997,2013
chino-xl,68,2006,2012
blu,68,1995,2016
dyablo,68,2007,2015
case,67,1999,2015
audio-push,67,2009,2016
afroman,67,2004,2014
dj-clue,66,2006,2015
da-brat,66,2006,2015
b-legit,66,2007,2015
casey-veggies,66,2011,2016
blackalicious,65,2006,2015
cyhi-the-prynce,65,2012,2016
the-coup,64,2007,2016
chiddy-bang,64,2009,2013
bethel-music,63,2011,2016
dj-shadow,62,2008,2016
azealia-banks,62,2011,2016
brand-nubian,62,2006,2016
colt-ford,62,2008,2016
the-chipmunks,61,2007,2016
bubba-sparxxx,61,2006,2016
big-punisher,60,2006,2009
black-milk,60,2010,2016
brother-ali,60,2007,2013
dead-prez,60,2006,2016
blaze-ya-dead-homie,59,2006,2015
dj-paul,58,2012,2016
diplomats,58,2003,2015
delinquent-habits,58,2006,2008
das-efx,57,2006,2008
brokencyde,57,2007,2011
damian-junior-gong-marley,57,2006,2015
fat-trel,57,2012,2016
doom,56,1989,2009
dj-drama,56,2006,2016
cee-lo,55,2006,2015
diddy,55,2006,2015
clipse,55,702,2016
booba,54,2005,2016
fedez,54,2013,2015
biz-markie,54,2006,2012
aloe-blacc,53,2006,2016
gangsta-boo,53,2006,2016
boondox,53,2006,2013
cheek,52,2009,2016
giggs,52,67,2016
benzino,52,2006,2013
apollo-brown,51,2010,2016
cro,51,2012,2016
angel-haze,51,2012,2016
cash-out,51,2012,2016
earl-sweatshirt,51,2011,2016
gorilla-zoe,50,2007,2016
big-boi,50,2008,2016
ab-soul,50,2012,2016
clinton-sparks,50,2010,2016
epic-rap-battles-of-history,50,2013,2016
abk,49,2004,2010
anybody-killa,49,2006,2009
club-dogo,49,2007,2014
asap-ferg,49,2013,2016
countdown-kids,49,2011,2014
adina-howard,48,1995,2015
fredo-santana,47,2012,2016
demarco,47,2009,2016
black-buddafly,46,2006,2012
crooked-i,46,2010,2014
ernie-haase-signature-sound,45,2008,2016
don-trip,45,2010,2016
field-mob,45,2000,2007
danny-fernandes,45,2008,2013
asian-dub-foundation,44,2006,2008
diplo,44,2011,2016
common-sense,44,2006,2008
dem-franchize-boyz,43,2004,2010
capone-n-noreaga,43,2006,2015
flying-lotus,43,2012,2016
the-fugees,43,1996,2006
big-l,42,2006,2016
chinx-drugz,42,2012,2015
consequence,42,2010,2016
eric-b-rakim,42,2006,2014
bounty-killer,41,2006,2015
dayton-family,41,2006,2012
bishop-lamont,41,2011,2016
cupcakke,41,2016,2016
ester-dean,40,2009,2015
damian-marley,40,2005,2016
21-savage,40,2016,2016
chipmunk,40,2009,2016
chip,40,2013,2016
emilio-rojas,40,2010,2016
crime-mob,40,2004,2007
atozzio,39,2010,2014
domo-genesis,39,2011,2016
diggy-simmons,39,2010,2016
brooke-valentine,39,2005,2016
cherish,39,2006,2013
blumentopf,39,2006,2016
chinx,38,2015,2016
biga-ranx,38,2011,2013
dappy,38,2012,2016
gemini,38,2006,2016
akinyele,38,2006,2016
dorrough,38,2009,2012
deltron-3030,37,2001,2013
glasses-malone,37,2010,2015
akhenaton,37,1999,2014
christy-nockels,37,2012,2016
freddie-foxxx,37,2003,2007
control-machete,37,2006,2008
dj-muggs,37,2006,2013
araabmuzik,37,2011,2016
bone-crusher,37,2006,2016
compton-s-most-wanted,37,2007,2007
badbadnotgood,36,2014,2016
the-cool-kids,36,2009,2016
glc,36,2010,2016
down-with-webster,36,2009,2013
flatbush-zombies,36,2012,2016
de-jeugd-van-tegenwoordig,36,2005,2014
eyedea,36,2006,2012
charli-baltimore,35,1999,2007
3rd-bass,35,1989,2008
cap-1,35,2013,2016
the-clark-sisters,35,2008,2014
afu-ra,35,2007,2008
deichkind,35,2006,2015
dj-kayslay,35,2007,2016
dj-vadim,35,2009,2014
fred-the-godson,35,2011,2016
grafh,34,2008,2016
dom-kennedy,34,2011,2016
astronautalis,34,2011,2016
clipping,34,2014,2016
beatnuts,34,2006,2008
brianna-perry,33,2012,2016
birdy-nam-nam,33,2012,2016
dopetrackz,33,2015,2015
def-manic,33,2011,2013
big-smo,33,2014,2016
asap-mob,33,2012,2016
georgia-anne-muldrow,33,2009,2015
chuck-inglish,33,2012,2016
az-the-visualiza,33,2006,2006
black-sheep,33,1994,2010
2-pistols,33,2008,2014
dubb,32,2012,2016
arrested-development,32,1992,2008
emis-killa,32,2012,2016
flesh-n-bone,32,2006,2008
floetry,32,2005,2010
desiigner,32,2016,2016
gnarls-barkley,31,2006,2014
drapht,31,2012,2016
dr-octagon,31,2006,2008
ghetts,31,2010,2016
angie-martinez,31,2002,2007
dj-battle,31,2013,2016
alley-boy,31,2010,2015
big-moe,30,2006,2008
dj-krush,30,1999,2008
dj-snake,30,2011,2016
cosculluela,30,2009,2016
darlene-zschech,30,2008,2015
erik-og-kriss,30,2009,2016
bligg,30,2008,2015
chip-tha-ripper,30,2010,2012
flobots,30,2008,2012
99-posse,29,2013,2016
ana-tijoux,29,2010,2014
busdriver,29,2010,2014
chico-debarge,29,2006,2009
fashawn,29,2012,2016
arsonists,29,2007,2008
fama,29,2014,2016
the-foreign-exchange,29,2008,2015
gramatik,29,2011,2014
cappadonna,28,2006,2013
grandmaster-flash,28,2006,2012
alexis-y-fido,28,2006,2016
cowboy-troy,28,2005,2014
azad-right,28,2011,2016
contrast,28,2000,2006
deez-nuts,27,2015,2015
d-i-t-c,27,2016,2016
damu-the-fudgemunk,27,2016,2016
gillie-da-kid,27,2012,2016
