,@Token,All Alphabetic,All Alphanumeric,Any Alphabetic,Global IDF,Global TF,Global TF-IDF,Phrase,Stopword
9,.,False,False,False,0.0006604234681082624,2184,1.442364854348445,False,False
237,the,True,True,True,0.012600036779633584,2166,27.29167966468634,False,True
124,i,True,True,True,0.019945410411500192,2155,42.982359436782914,False,True
240,to,True,True,True,0.02195520183133662,2152,47.24759434103641,False,True
28,and,True,True,True,0.028001429711413138,2143,60.00706387155835,False,True
11,a,True,True,True,0.03272163270040682,2136,69.89340744806897,False,True
264,you,True,True,True,0.03272163270040682,2136,69.89340744806897,False,True
8,",",False,False,False,0.0428886588574058,2121,90.9668454365577,False,False
135,it,True,True,True,0.05724395183447584,2100,120.21229885239926,False,True
236,that,True,True,True,0.06275042814101942,2092,131.2738956710126,False,True
125,in,True,True,True,0.06482078732085263,2089,135.41062471326114,False,True
166,n't,False,False,True,0.07730572616744871,2071,160.10015889278628,False,False
6,'s,False,False,True,0.08009489096251306,2067,165.55613961951448,False,False
179,on,True,True,True,0.08498894231738009,2060,175.077221173803,False,True
165,my,True,True,True,0.09060254878090677,2052,185.9164300984207,False,True
157,me,True,True,True,0.09553243655884967,2045,195.36383276284758,False,True
86,do,True,True,True,0.10260448523435141,2035,208.80012745190513,False,True
176,of,True,True,True,0.14432040865875284,1977,285.32144791835435,False,True
262,with,True,True,True,0.18277483391833474,1925,351.8415552927944,False,True
4,'m,False,False,True,0.18577576072243374,1921,356.8752363477952,False,False
144,like,True,True,True,0.1865269687794421,1920,358.13178005652884,False,False
134,is,True,True,True,0.19028888757564133,1915,364.4032197073532,False,True
103,for,True,True,True,0.19330550141050404,1911,369.4068131954732,False,True
349,got,True,True,True,0.20315328736685137,1898,385.5849394222839,False,False
251,up,True,True,True,0.22382372114717672,1871,418.77418226636763,False,True
265,your,True,True,True,0.22923141973368058,1864,427.2873663835806,False,True
342,get,True,True,True,0.23543656926038847,1856,436.970272547281,False,False
40,be,True,True,True,0.23699203576242986,1854,439.38323430354495,False,True
21,all,True,True,True,0.24244941340552267,1847,447.80406656000036,False,True
221,so,True,True,True,0.2732386019727729,1808,494.01539236677337,False,True
449,this,True,True,True,0.2860626423303567,1792,512.6242550559992,False,True
256,what,True,True,True,0.2868679424019996,1791,513.7804848419812,False,True
370,know,True,True,True,0.30469923169750235,1769,539.0129408728817,False,False
51,but,True,True,True,0.30469923169750235,1769,539.0129408728817,False,True
